,PSP,ID,smiles_string
2931,,122,[*]c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(N4C(=O)c5ccc(C(F)(F)C(F)(F)C([*])(F)F)cc5C4=O)cc3)cc1)C2=O
507,,123,[*]CC([*])C(=O)OCCOC(F)(C(F)(F)F)C(F)(F)F
1166,,124,[*]c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc6nc([*])c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1
2637,,125,[*]CCCCCCCCCNC(=O)CCCCCCCCC(=O)NCCCCCCCCCNC(=O)C(=O)N[*]
10205,,126,[*]CCCCCCCCCSC(=O)S[*]
3653,,127,[*]CC([*])(C)c1nc(N(CCOCCOCCOC)CCOCCOCCOC)nc(N(CCOCCOCCOC)c2ccccc2)n1
6901,,128,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(=O)c4ccc(C([*])=O)cc4)cc3)cc2)cc1
3297,,129,[*]Oc1ccc(S(=O)c2ccc(OC([*])=O)cc2)cc1
7572,,130,[*]CCCC(=O)Nc1ccc(NC(=O)CCCOC(=O)c2ccc(C(=O)O[*])cc2)cc1
12368,,131,[*]C(=O)Nc1ccc(Oc2c(C)cc(C(C)(C)c3cc(C)c(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(C8(c9ccc(Oc%10ccc(N%11C(=O)c%12ccc([*])cc%12C%11=O)cc%10)cc9)CC9CC8C8CCCC98)cc7)cc5)C6=O)cc4)c(C)c3)cc2C)cc1
3725,,132,[*]C(C#CS(F)(F)(F)(F)F)=C([*])S(F)(F)(F)(F)F
2793,,133,[*]CC=CCOC(=O)NCCCCCCNC(=O)O[*]
2397,,134,[*]CCCCCCCCCCCCCCCCCCNC(=O)c1ccc(C(=O)N[*])cc1
7468,,135,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CC(C)CCC([*])=O)cc2)C(=O)OC(C)CC)cc1
7749,,136,[*]C(=O)C1CCCCC1C(=O)N1CC(C)N([*])CC1C
9250,,137,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(C(c4cc(C)c(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C)c4)c4cccc5ccccc45)cc3C)cc1)C2=O
6236,,138,[*]c1ccc(C(=O)OCCCCCCOc2ccc(C=C3CCC(=Cc4ccc(OCCCCCCOC(=O)c5ccc(-c6nnc([*])o6)cc5)cc4)C3=O)cc2)cc1
1453,,139,[*]CCCCOC(=O)NCCSCCCCCSCCNC(=O)O[*]
